FID,,longitude,latitude,Drought,area_km2,area_ha
,,42.13742828,0.8886080393,severe,36.47425,3647.42491
,,42.13279724,0.882914007,severe,36.47425,3647.42491
,,42.13366318,0.8787680271,severe,36.47425,3647.42491
,,42.13444801,0.8773839714,severe,36.47425,3647.42491
,,42.13746643,0.8720609552,severe,36.47425,3647.42491
,,42.13927841,0.8700799943,severe,36.47425,3647.42491
,,42.14468765,0.8641660813,severe,36.47425,3647.42491
,,42.15858167,0.8550539021,severe,36.47425,3647.42491
,,42.16165161,0.8497290612,severe,36.47425,3647.42491
,,42.16199217,0.8486377187,severe,36.47425,3647.42491
,,42.16539383,0.8377369048,severe,36.47425,3647.42491
,,42.16567732,0.8377835104,severe,36.47425,3647.42491
,,42.1745491,0.8392419823,severe,36.47425,3647.42491
,,42.17922974,0.8293080926,severe,36.47425,3647.42491
,,42.18283844,0.8253610131,severe,36.47425,3647.42491
,,42.19057846,0.8232060666,severe,36.47425,3647.42491
,,42.19823837,0.8139279481,severe,36.47425,3647.42491
,,42.21970749,0.7943830486,severe,36.47425,3647.42491
,,42.22218693,0.7957065027,severe,36.47425,3647.42491
,,42.22223663,0.7957330336,severe,36.47425,3647.42491
,,42.21977997,0.8005869984,severe,36.47425,3647.42491
,,42.20714188,0.8135970237,severe,36.47425,3647.42491
,,42.19697952,0.8235939739,severe,36.47425,3647.42491
,,42.18610382,0.831298947,severe,36.47425,3647.42491
,,42.2378273,0.7813089493,severe,36.47425,3647.42491
,,42.22902298,0.7901419403,severe,36.47425,3647.42491
,,42.22559357,0.7899510259,severe,36.47425,3647.42491
,,42.2242012,0.7878979438,severe,36.47425,3647.42491
,,42.22537347,0.7863793109,severe,36.47425,3647.42491
,,42.23207474,0.77769804,severe,36.47425,3647.42491
,,42.23570633,0.7755889293,severe,36.47425,3647.42491
,,42.23845673,0.776476919,severe,36.47425,3647.42491
,,42.23937903,0.7780604803,severe,36.47425,3647.42491
,,42.23938751,0.7780750403,severe,36.47425,3647.42491
,,42.2378273,0.7813089493,severe,36.47425,3647.42491
,,42.25505066,0.7500930432,severe,36.47425,3647.42491
,,42.2504921,0.7510640034,severe,36.47425,3647.42491
,,42.24818039,0.7485620382,severe,36.47425,3647.42491
,,42.25018692,0.7441739438,severe,36.47425,3647.42491
,,42.25023075,0.7441487762,severe,36.47425,3647.42491
,,42.25630951,0.7406580442,severe,36.47425,3647.42491
,,42.25863876,0.7452091507,severe,36.47425,3647.42491
,,42.25864792,0.7452270391,severe,36.47425,3647.42491
,,42.25730896,0.7479990716,severe,36.47425,3647.42491
,,42.25505066,0.7500930432,severe,36.47425,3647.42491
,,42.26817322,0.7396039372,severe,36.47425,3647.42491
,,42.26231384,0.7460499404,severe,36.47425,3647.42491
,,42.26428223,0.7389590144,severe,36.47425,3647.42491
,,42.26489784,0.7380738801,severe,36.47425,3647.42491
,,42.27281952,0.7266840932,severe,36.47425,3647.42491
,,42.27824402,0.7217969299,severe,36.47425,3647.42491
,,42.28596115,0.7178029418,severe,36.47425,3647.42491
,,42.29271698,0.7099140879,severe,36.47425,3647.42491
,,42.2961235,0.7082670326,severe,36.47425,3647.42491
,,42.29808864,0.7100057666,severe,36.47425,3647.42491
,,42.2984314,0.7103090287,severe,36.47425,3647.42491
,,42.29393387,0.7161039111,severe,36.47425,3647.42491
,,42.28260422,0.7238149636,severe,36.47425,3647.42491
,,42.27655411,0.7337639332,severe,36.47425,3647.42491
,,42.26817322,0.7396039372,severe,36.47425,3647.42491
,,42.33584595,0.6485330461,severe,36.47425,3647.42491
,,42.33411068,0.6556916792,severe,36.47425,3647.42491
,,42.33366775,0.6575189227,severe,36.47425,3647.42491
,,42.32158661,0.6594950561,severe,36.47425,3647.42491
,,42.31856537,0.6549339887,severe,36.47425,3647.42491
